Date,Open,High,Low,Close,Volume,Adj Close,simple 10-day moving average,weighted 10-day moving average,momentum,%K,%D,output,close of yesterday,close of two days before,close of three days before,close of four days before,close of five days before,,,,,,,
2011/1/14,617.399995,624.270011,617.080003,624.180013,4726400,312.402409,622.0488996,616.2963793,19.830004,54.99643577,99.67615,1,616.690013,616.870008,616.010029,614.210012,616.440019,2011/1/3,596.480018,605.589979,596.480018,604.350009,4725600,302.477482
2011/1/18,626.060028,641.990005,625.269986,639.630002,7226700,320.135136,622.0488996,621.0756497,37.51,92.0201715,73.50830364,1,624.180013,616.690013,616.870008,616.010029,614.210012,2011/1/4,605.619978,606.180025,600.11999,602.120002,3645300,301.361363
2011/1/19,642.120002,642.959981,629.660001,631.750011,6805300,316.191197,622.0488996,623.7807399,22.679995,73.13687623,73.3844945,0,639.630002,624.180013,616.690013,616.870008,616.010029,2011/1/5,600.069991,610.329985,600.049992,609.070016,5059500,304.839848
2011/1/20,632.21,634.080015,623.290035,626.770011,10960600,313.698704,622.0488996,625.0416483,13.269981,61.2030034,70.33912172,0,631.750011,639.630002,624.180013,616.690013,616.870008,2011/1/6,610.680037,618.430031,610.049992,613.50003,4111400,307.057072
2011/1/21,639.580003,641.730011,611.360021,611.830009,17790900,306.221226,622.0488996,623.2643745,-4.61001,25.40138012,61.3515734,0,626.770011,631.750011,639.630002,624.180013,616.690013,2011/1/7,615.910032,618.250036,610.12999,616.440019,4198100,308.528538
2011/1/24,607.569991,612.489993,601.230024,611.080028,9189200,305.84586,622.0488996,621.3811045,-3.129984,23.60415564,55.06033711,0,611.830009,626.770011,631.750011,639.630002,624.180013,2011/1/10,614.799998,615.389983,608.560028,614.210012,3155200,307.412419
2011/1/25,608.200037,620.690037,606.520017,619.909995,7286300,310.265263,622.0488996,621.2007375,3.899966,44.76393541,53.58942258,1,611.080028,611.830009,626.770011,631.750011,639.630002,2011/1/11,617.709988,618.800022,614.500005,616.010029,2875700,308.313328
2011/1/26,620.329985,622.489993,615.279986,616.500017,4072100,308.558567,622.0488996,620.2967384,-0.369991,36.59240051,51.46479482,0,619.909995,611.080028,611.830009,626.770011,631.750011,2011/1/12,619.350009,619.350009,614.769999,616.870008,3262100,308.743748
2011/1/27,617.889983,619.7,613.250036,616.79001,4034300,308.703709,622.0488996,619.4365565,0.099997,37.28732814,49.88952075,1,616.500017,619.909995,611.080028,611.830009,626.770011,2011/1/13,616.970006,619.670001,614.160013,616.690013,2665300,308.65366
2011/1/28,619.070016,620.359984,599.759999,600.99003,8453700,300.795811,619.9430126,615.7051054,-23.189983,2.847295168,45.18529819,0,616.79001,616.500017,619.909995,611.080028,611.830009,,,,,,,
2011/1/31,603.600027,604.470006,595.54998,600.359984,5604100,300.480473,617.5610097,612.1445548,-39.270018,10.14554714,40.70020933,0,600.99003,616.79001,616.500017,619.909995,611.080028,,,,,,,
2011/2/1,604.490005,613.350033,603.109978,611.040029,5485100,305.82584,614.7020124,610.9589219,-20.709982,32.67253464,34.76544564,1,600.359984,600.99003,616.79001,616.500017,619.909995,,,,,,,
2011/2/2,611.00003,614.340009,607.529992,612.000005,3517800,306.306309,612.7270118,610.4676478,-14.770006,35.62151138,31.01390916,1,611.040029,600.359984,600.99003,616.79001,616.500017,,,,,,,
2011/2/3,609.480006,611.450019,606.130026,610.149989,2987200,305.380375,611.0650096,609.9990982,-1.68002,31.6154162,28.05515044,0,612.000005,611.040029,600.359984,600.99003,616.79001,,,,,,,
2011/2/4,610.149989,611.440019,606.610015,610.98003,3098400,305.795811,610.9800117,609.9836474,-0.099998,57.27558483,31.24257091,1,610.149989,612.000005,611.040029,600.359984,600.99003,,,,,,,
2011/2/7,610.159989,618.390032,609.210012,614.29001,3595600,307.452458,611.3010099,610.5854653,-5.619985,69.5620674,35.83836208,1,610.98003,610.149989,612.000005,611.040029,600.359984,,,,,,,
2011/2/8,614.929995,619.630002,614.510005,618.380032,3386400,309.499516,611.1480136,611.8725602,1.880015,84.74402741,39.83637128,1,614.29001,610.98003,610.149989,612.000005,611.040029,,,,,,,
2011/2/9,616.870008,619.450006,612.339997,616.500017,3681300,308.558567,611.1480136,612.8456517,-0.289993,84.44189288,44.62132052,0,618.380032,614.29001,610.98003,610.149989,612.000005,,,,,,,
2011/2/10,613.90002,617.499993,611.560016,616.440019,4664100,308.528538,611.1130145,613.8078345,15.449989,84.20006301,49.312594,0,616.500017,618.380032,614.29001,610.98003,610.149989,,,,,,,
2011/2/11,613.790022,624.999993,612.999981,624.500005,5174600,312.562565,613.464012,616.2418328,24.140021,98.30224863,58.85808935,1,616.440019,616.500017,618.380032,614.29001,610.98003,,,,,,,
2011/2/14,623.340033,629.640002,620.039992,628.150038,4251700,314.389408,616.2430174,618.9120193,17.110009,94.38385732,67.28192037,1,624.500005,616.440019,616.500017,618.380032,614.29001,,,,,,,
2011/2/15,627.319997,630.089991,623.099978,624.150014,4179800,312.387394,617.5540159,620.3496551,12.150009,75.20874091,71.535541,0,628.150038,624.500005,616.440019,616.500017,618.380032,,,,,,,
2011/2/16,625.630038,626.500017,622.100003,624.220012,3364600,312.422428,618.7760166,621.5616544,14.070023,75.50088658,75.52347852,1,624.150014,628.150038,624.500005,616.440019,616.500017,,,,,,,
2011/2/17,621.250023,627.249999,620.279986,625.259986,2954600,312.942936,620.2870163,622.7405579,14.279956,79.42925921,80.30486282,1,624.220012,624.150014,628.150038,624.500005,616.440019,,,,,,,
2011/2/18,626.000029,631.180025,624.180013,630.079991,6429300,315.355351,622.1970124,624.5210988,15.789981,94.99302071,84.07660641,1,625.259986,624.220012,624.150014,628.150038,624.500005,,,,,,,
2011/2/22,620.029992,624.929995,607.769986,610.209988,7272500,305.410404,621.7890102,622.3416398,-8.170044,10.42288738,78.1626884,0,630.079991,625.259986,624.220012,624.150014,628.150038,,,,,,,
2011/2/23,610.329985,614.7,604.000017,611.320022,5773400,305.965977,621.0830092,620.4381874,-5.179995,26.9315778,72.38144344,1,610.209988,630.079991,625.259986,624.220012,624.150014,,,,,,,
2011/2/24,611.39002,613.089979,601.350021,608.820022,5417900,304.714726,620.3150097,618.2085533,-7.619997,25.04190412,66.44144457,0,611.320022,610.209988,630.079991,625.259986,624.220012,,,,,,,
2011/2/25,611.860009,614.72,609.500005,610.039992,3860900,305.325321,619.675007,616.3403683,-14.460013,29.13164544,60.93460281,1,608.820022,611.320022,610.209988,630.079991,625.259986,,,,,,,
2011/2/28,609.999993,616.490018,608.009981,613.400032,4558400,307.007023,618.5650097,615.1994638,-14.750006,40.39560638,55.14393859,1,610.039992,608.820022,611.320022,610.209988,630.079991,,,,,,,
2011/3/1,617.779986,619.220012,599.30001,600.760036,6639700,300.680698,615.8260095,611.9621958,-23.389978,4.579753178,46.16352817,0,613.400032,610.039992,608.820022,611.320022,610.209988,,,,,,,
2011/3/2,599.799998,606.00003,595.189989,600.790035,4049300,300.695713,613.4900116,609.2283823,-23.429977,15.55998999,40.19865308,1,600.760036,613.400032,610.039992,608.820022,611.320022,,,,,,,
2011/3/3,606.38002,611.490018,604.999993,609.560004,3886700,305.085087,612.0240108,608.5138354,-15.699982,39.92775945,36.64134037,1,600.790035,600.760036,613.400032,610.039992,608.820022,,,,,,,
2011/3/4,608.330034,608.980018,600.199988,600.619978,6015900,300.6106,609.56001,606.4403749,-29.460013,15.08747866,30.20716231,0,609.560004,600.790035,600.760036,613.400032,610.039992,,,,,,,
2011/3/7,600.54998,603.690025,587.000005,591.660014,6918400,296.126133,605.7180123,603.1858302,-18.549974,12.28581658,21.9364419,0,600.619978,609.560004,600.790035,600.760036,613.400032,,,,,,,
2011/3/8,592.929983,597.979981,590.199988,592.309998,4565200,296.45145,603.9280133,600.7480094,-19.010024,16.48042162,22.54219532,1,591.660014,600.619978,609.560004,600.790035,600.760036,,,,,,,
